"";"UF";"V2010";"V403312";"se"
"Rondônia.Branca";"Rondônia";"Branca";2487,61646511548;203,161740872935
"Acre.Branca";"Acre";"Branca";2205,28512480141;154,969214046316
"Amazonas.Branca";"Amazonas";"Branca";2334,50995921959;316,642584063033
"Roraima.Branca";"Roraima";"Branca";3101,3281331675;394,823346900935
"Pará.Branca";"Pará";"Branca";2279,74616192575;205,113532395418
"Amapá.Branca";"Amapá";"Branca";2521,09613660316;215,354091506761
"Tocantins.Branca";"Tocantins";"Branca";2632,32885388631;241,654700440069
"Maranhão.Branca";"Maranhão";"Branca";1609,98066036727;94,6779332730532
"Piauí.Branca";"Piauí";"Branca";1887,13605236386;153,966753512946
"Ceará.Branca";"Ceará";"Branca";2016,46067354347;165,983509786484
"Rio Grande do Norte.Branca";"Rio Grande do Norte";"Branca";1928,35776144169;182,71122304856
"Paraíba.Branca";"Paraíba";"Branca";1979,72057412352;205,876470215993
"Pernambuco.Branca";"Pernambuco";"Branca";1850,51599861174;104,009323427104
"Alagoas.Branca";"Alagoas";"Branca";2107,60782829063;150,528562011628
"Sergipe.Branca";"Sergipe";"Branca";1898,46725600808;229,651637367644
"Bahia.Branca";"Bahia";"Branca";1954,80343963451;149,675194306645
"Minas Gerais.Branca";"Minas Gerais";"Branca";2309,39545019864;76,7315691721798
"Espírito Santo.Branca";"Espírito Santo";"Branca";2486,3361646631;133,444184951697
"Rio de Janeiro.Branca";"Rio de Janeiro";"Branca";3192,36223355154;112,515420064427
"São Paulo.Branca";"São Paulo";"Branca";3352,93503696176;198,746063731697
"Paraná.Branca";"Paraná";"Branca";2647,63189687554;83,8088396437258
"Santa Catarina.Branca";"Santa Catarina";"Branca";2458,09359175849;51,280825426045
"Rio Grande do Sul.Branca";"Rio Grande do Sul";"Branca";2507,89168482151;64,7235216320658
"Mato Grosso do Sul.Branca";"Mato Grosso do Sul";"Branca";2636,89412821077;148,455850969566
"Mato Grosso.Branca";"Mato Grosso";"Branca";2673,09096924032;112,769469877015
