"";"UF";"V2010";"V403312";"se"
"Goiás.Branca";"Goiás";"Branca";2419,4641028812;126,030660877502
"Distrito Federal.Branca";"Distrito Federal";"Branca";4776,39725889568;292,053876038752
"Rondônia.Preta";"Rondônia";"Preta";1638,12767558967;131,323475833565
"Acre.Preta";"Acre";"Preta";1551,8688390147;126,417371783929
"Amazonas.Preta";"Amazonas";"Preta";1200,0968279577;116,282423080664
"Roraima.Preta";"Roraima";"Preta";1930,90687162543;191,972976026555
"Pará.Preta";"Pará";"Preta";1316,14573332314;68,8564174426149
"Amapá.Preta";"Amapá";"Preta";1885,67592253899;307,215298369466
"Tocantins.Preta";"Tocantins";"Preta";1664,44161433703;211,386595983263
"Maranhão.Preta";"Maranhão";"Preta";1092,9804836286;51,3806447110725
"Piauí.Preta";"Piauí";"Preta";1085,06360457872;77,0294665448209
"Ceará.Preta";"Ceará";"Preta";1146,56888878643;78,2493184699456
"Rio Grande do Norte.Preta";"Rio Grande do Norte";"Preta";1267,51795675611;121,23258768398
"Paraíba.Preta";"Paraíba";"Preta";1337,50624992035;121,041013398433
"Pernambuco.Preta";"Pernambuco";"Preta";1305,82377253951;104,268700909395
"Alagoas.Preta";"Alagoas";"Preta";1285,89319042685;144,937256241088
"Sergipe.Preta";"Sergipe";"Preta";1678,31185084135;192,301252405316
"Bahia.Preta";"Bahia";"Preta";1362,74952663512;62,2786067071112
"Minas Gerais.Preta";"Minas Gerais";"Preta";1395,91782847657;36,6911417553357
"Espírito Santo.Preta";"Espírito Santo";"Preta";1573,28803999933;55,5780141037193
"Rio de Janeiro.Preta";"Rio de Janeiro";"Preta";1766,26156877562;57,4262029716237
"São Paulo.Preta";"São Paulo";"Preta";1916,07619038378;67,1136983211043
"Paraná.Preta";"Paraná";"Preta";1804,61078534422;92,5790616324746
"Santa Catarina.Preta";"Santa Catarina";"Preta";1869,82220485907;84,4488879105557
"Rio Grande do Sul.Preta";"Rio Grande do Sul";"Preta";1705,33799175313;69,5349029914908
"Mato Grosso do Sul.Preta";"Mato Grosso do Sul";"Preta";1755,54124017924;106,908037322631
"Mato Grosso.Preta";"Mato Grosso";"Preta";2173,1171850137;202,908443591031
"Goiás.Preta";"Goiás";"Preta";1581,33776469777;63,8471065918788
"Distrito Federal.Preta";"Distrito Federal";"Preta";2334,7281604087;138,608018817052
"Rondônia.Amarela";"Rondônia";"Amarela";2599,83312498285;516,832797593241
"Acre.Amarela";"Acre";"Amarela";1432,22716836441;264,852487174453
"Amazonas.Amarela";"Amazonas";"Amarela";1620,21928307437;361,329101177159
"Roraima.Amarela";"Roraima";"Amarela";5955,31434156301;2736,39523544315
"Pará.Amarela";"Pará";"Amarela";3763,58688384392;1839,1968991493
"Amapá.Amarela";"Amapá";"Amarela";1813,52139315867;1030,85043317439
"Tocantins.Amarela";"Tocantins";"Amarela";2573,47777408411;695,518285863409
"Maranhão.Amarela";"Maranhão";"Amarela";1130,32025043777;159,76029559678
"Piauí.Amarela";"Piauí";"Amarela";440,556504225282;274,633605134458
"Ceará.Amarela";"Ceará";"Amarela";2864,05500097515;730,70241999453
"Rio Grande do Norte.Amarela";"Rio Grande do Norte";"Amarela";693,722364430994;289,40131456155
"Paraíba.Amarela";"Paraíba";"Amarela";1190,31073477178;265,1653787722
"Pernambuco.Amarela";"Pernambuco";"Amarela";1905,05002573363;522,510914373938
"Alagoas.Amarela";"Alagoas";"Amarela";1076,51608736307;93,0886766228764
"Sergipe.Amarela";"Sergipe";"Amarela";1896,6502939808;790,579221030511
"Bahia.Amarela";"Bahia";"Amarela";1809,01745433043;404,913709940286
"Minas Gerais.Amarela";"Minas Gerais";"Amarela";1608,74665847561;372,423494173129
"Espírito Santo.Amarela";"Espírito Santo";"Amarela";1814,92480697209;252,384621488228
"Rio de Janeiro.Amarela";"Rio de Janeiro";"Amarela";3448,464001527;1203,00681543256
"São Paulo.Amarela";"São Paulo";"Amarela";4839,99690664463;504,778434399655
"Paraná.Amarela";"Paraná";"Amarela";3450,29975106044;462,900756391884
"Santa Catarina.Amarela";"Santa Catarina";"Amarela";2380,7610205463;435,254648638376
"Rio Grande do Sul.Amarela";"Rio Grande do Sul";"Amarela";2474,81840974104;780,723046134581
"Mato Grosso do Sul.Amarela";"Mato Grosso do Sul";"Amarela";4153,5259165707;757,468596543726
"Mato Grosso.Amarela";"Mato Grosso";"Amarela";2560,42341884442;276,002284976611
"Goiás.Amarela";"Goiás";"Amarela";1789,08573032436;184,270741999661
"Distrito Federal.Amarela";"Distrito Federal";"Amarela";4184,66296189764;820,338366753202
"Rondônia.Parda";"Rondônia";"Parda";1686,57067189654;43,4068573546415
"Acre.Parda";"Acre";"Parda";1558,92598900349;67,1820103382958
"Amazonas.Parda";"Amazonas";"Parda";1348,48976319923;50,7127250273636
"Roraima.Parda";"Roraima";"Parda";2007,74702975815;161,646472755867
"Pará.Parda";"Pará";"Parda";1371,26008769901;46,0729143639362
"Amapá.Parda";"Amapá";"Parda";1777,60291854542;133,639546429929
"Tocantins.Parda";"Tocantins";"Parda";1617,02878276587;87,260668448131
"Maranhão.Parda";"Maranhão";"Parda";1199,8594743582;31,7434533003063
"Piauí.Parda";"Piauí";"Parda";1182,18903861407;49,2962038592787
"Ceará.Parda";"Ceará";"Parda";1168,98275872252;37,2176990468644
"Rio Grande do Norte.Parda";"Rio Grande do Norte";"Parda";1420,08611470815;102,931450098327
"Paraíba.Parda";"Paraíba";"Parda";1211,63093525786;55,9236034131687
"Pernambuco.Parda";"Pernambuco";"Parda";1354,97734903535;48,8227641751616
"Alagoas.Parda";"Alagoas";"Parda";1249,52477007537;45,5942027437293
"Sergipe.Parda";"Sergipe";"Parda";1506,15838475852;100,146473644204
"Bahia.Parda";"Bahia";"Parda";1269,27157697303;43,4837352953275
"Minas Gerais.Parda";"Minas Gerais";"Parda";1561,26106358778;31,2032110656634
"Espírito Santo.Parda";"Espírito Santo";"Parda";1642,11636830347;40,7125566321591
"Rio de Janeiro.Parda";"Rio de Janeiro";"Parda";2059,7671288574;64,5663009633251
"São Paulo.Parda";"São Paulo";"Parda";1820,44771039891;43,9193279342932
"Paraná.Parda";"Paraná";"Parda";1726,69615541803;42,4676325607366
"Santa Catarina.Parda";"Santa Catarina";"Parda";1811,22967111262;48,247165330518
"Rio Grande do Sul.Parda";"Rio Grande do Sul";"Parda";1670,00071193075;55,3558064741829
"Mato Grosso do Sul.Parda";"Mato Grosso do Sul";"Parda";1715,25366863036;46,590175344784
"Mato Grosso.Parda";"Mato Grosso";"Parda";2011,5463785655;52,5208126307485
"Goiás.Parda";"Goiás";"Parda";1856,4430826189;63,7101569641394
"Distrito Federal.Parda";"Distrito Federal";"Parda";3287,81449078143;236,818528254942
"Rondônia.Indígena";"Rondônia";"Indígena";1926,51840876359;678,84859898162
"Acre.Indígena";"Acre";"Indígena";1226,26562851893;216,983704733214
"Amazonas.Indígena";"Amazonas";"Indígena";813,921431788819;75,3158683746764
"Roraima.Indígena";"Roraima";"Indígena";1247,43020422641;98,6253573331363
"Pará.Indígena";"Pará";"Indígena";993,525772213645;134,751422601222
"Amapá.Indígena";"Amapá";"Indígena";770,776245592727;82,4110979647017
"Tocantins.Indígena";"Tocantins";"Indígena";3304,16952506703;2164,36607027942
"Maranhão.Indígena";"Maranhão";"Indígena";1088,22826149958;224,227962683564
"Piauí.Indígena";"Piauí";"Indígena";625,528573354956;155,419216901276
"Ceará.Indígena";"Ceará";"Indígena";1726,11216617567;634,31008090492
"Rio Grande do Norte.Indígena";"Rio Grande do Norte";"Indígena";922,78793632348;137,218533006642
"Paraíba.Indígena";"Paraíba";"Indígena";1516,9268678458;229,885288519604
"Pernambuco.Indígena";"Pernambuco";"Indígena";2194,33483527992;590,625266105854
"Alagoas.Indígena";"Alagoas";"Indígena";1123,85253053054;169,441164677005
"Sergipe.Indígena";"Sergipe";"Indígena";1159,53189141583;151,387342380476
"Bahia.Indígena";"Bahia";"Indígena";1532,30286238617;400,18888972288
"Minas Gerais.Indígena";"Minas Gerais";"Indígena";1297,68549344207;170,533138308055
"Espírito Santo.Indígena";"Espírito Santo";"Indígena";1810,4378498672;342,090522388685
"Rio de Janeiro.Indígena";"Rio de Janeiro";"Indígena";2915,8252226747;527,306289698934
"São Paulo.Indígena";"São Paulo";"Indígena";1774,16670293742;238,117037009414
"Paraná.Indígena";"Paraná";"Indígena";1699,48791614247;159,742106206938
"Santa Catarina.Indígena";"Santa Catarina";"Indígena";2365,00973207442;331,644255647516
"Rio Grande do Sul.Indígena";"Rio Grande do Sul";"Indígena";1683,43516183335;385,539505173546
"Mato Grosso do Sul.Indígena";"Mato Grosso do Sul";"Indígena";1540,35548394615;297,572358277663
"Mato Grosso.Indígena";"Mato Grosso";"Indígena";1449,44586304872;209,530408893366
"Goiás.Indígena";"Goiás";"Indígena";1402,24183254068;185,045255548035
"Distrito Federal.Indígena";"Distrito Federal";"Indígena";2748,46048545519;577,389796254753
"Maranhão.Ignorado";"Maranhão";"Ignorado";600;1,97405511303225e-14
"Paraíba.Ignorado";"Paraíba";"Ignorado";1600;2,79173551372216e-14
"Sergipe.Ignorado";"Sergipe";"Ignorado";5000;0
"Bahia.Ignorado";"Bahia";"Ignorado";100;2,01476156294216e-15
"Minas Gerais.Ignorado";"Minas Gerais";"Ignorado";7500;4,78139892958404e-13
"Espírito Santo.Ignorado";"Espírito Santo";"Ignorado";1000;1,09614879921966e-13
"Rio de Janeiro.Ignorado";"Rio de Janeiro";"Ignorado";3300;2,01314910845181e-13
"São Paulo.Ignorado";"São Paulo";"Ignorado";1479,22069992326;339,310030038624
"Paraná.Ignorado";"Paraná";"Ignorado";1500;7,20823010110782e-14
"Santa Catarina.Ignorado";"Santa Catarina";"Ignorado";1307,47210948028;38,0102203384809
"Goiás.Ignorado";"Goiás";"Ignorado";1400;0
"Distrito Federal.Ignorado";"Distrito Federal";"Ignorado";23500;3,14794228102349e-12
