"";"V2007";"V2010";"V403312";"se"
"Homem.Branca";"Homem";"Branca";3239,47072160525;68,7998436028804
"Mulher.Branca";"Mulher";"Branca";2399,5351027545;42,5732473272106
"Homem.Preta";"Homem";"Preta";1760,06502087133;24,1580759503043
"Mulher.Preta";"Mulher";"Preta";1418,75550787696;28,5131381037996
"Homem.Amarela";"Homem";"Amarela";4694,9948850567;816,533342252878
"Mulher.Amarela";"Mulher";"Amarela";3478,42848362965;400,141793717156
"Homem.Parda";"Homem";"Parda";1845,8119648447;24,6405553285956
"Mulher.Parda";"Mulher";"Parda";1414,17398821381;12,5652641112355
"Homem.Indígena";"Homem";"Indígena";1866,43564641092;210,91006269799
"Mulher.Indígena";"Mulher";"Indígena";1847,84416659729;327,895802259451
"Homem.Ignorado";"Homem";"Ignorado";5256,08866465062;1516,00015318119
"Mulher.Ignorado";"Mulher";"Ignorado";1908,45694683983;683,938376530526
